news_id,publish_date,company,headline,sentiment_score,source
N1001,2023-10-15,STK007,Crime staff very offer director senior doctor.,0.2,Reuters
N1002,2024-03-03,STK031,Resource project light will like.,-0.75,Reuters
N1003,2023-05-13,STK038,Husband thank product want receive ok dark spring.,0.91,Reuters
N1004,2024-09-24,STK024,Agent lawyer security security poor dog site.,-0.31,Reuters
N1005,2023-07-09,STK022,Check ahead standard war whom toward.,-0.75,Reuters
N1006,2023-03-17,STK016,Training worker analysis quality loss.,-0.16,CNBC
N1007,2023-02-09,STK018,Save east yourself century improve institution sure.,0.68,Reuters
N1008,2024-09-08,STK002,Know good call easy also charge.,-0.32,Reuters
N1009,2024-03-17,STK033,Federal perform production short real themselves.,0.23,Reuters
N1010,2024-08-01,STK025,Exist enjoy individual you.,0.94,Bloomberg
N1011,2023-04-22,STK039,Trouble whether doctor become different.,0.55,Bloomberg
N1012,2023-04-03,STK009,Upon another begin career girl another argue.,0.79,Reuters
N1013,2023-01-11,STK002,Cover Mrs save.,0.03,CNBC
N1014,2024-05-26,STK010,Drop Congress especially practice last general vote growth.,0.43,Reuters
N1015,2023-05-24,STK039,Entire respond south energy include since with.,0.24,CNBC
N1016,2023-08-22,STK015,Rise time floor put author seek issue.,-0.76,Bloomberg
N1017,2024-01-25,STK039,Baby you send finish game scientist.,0.15,Bloomberg
N1018,2024-01-24,STK002,Real present avoid.,0.26,Bloomberg
N1019,2023-10-04,STK007,Exist better debate per the left.,0.45,CNBC
N1020,2023-09-25,STK038,Western everything cost thank list grow until.,-0.28,CNBC
N1021,2024-09-10,STK019,Month director west road true final quite school.,0.91,Reuters
N1022,2023-12-28,STK011,Job audience attack day.,-0.14,Reuters
N1023,2023-06-26,STK015,Research unit himself author book card.,-0.32,Bloomberg
N1024,2024-01-18,STK017,Garden political measure remember.,0.44,Reuters
N1025,2023-05-28,STK025,Act laugh issue.,-0.92,Reuters
N1026,2024-04-15,STK002,Production director however their.,-0.17,CNBC
N1027,2023-12-07,STK038,Beautiful piece maintain describe.,-0.52,CNBC
N1028,2023-03-23,STK033,In police before product house.,-0.44,CNBC
N1029,2023-10-27,STK017,Scene available number effect fine none four morning.,0.65,CNBC
N1030,2023-10-14,STK010,Hit purpose edge off line woman loss ground.,-0.83,Reuters
N1031,2024-11-28,STK016,Person goal form mother production certain.,-0.62,Bloomberg
N1032,2023-09-10,STK010,Sense organization top different.,0.52,CNBC
N1033,2024-01-12,STK034,Hot between create education.,-0.14,Bloomberg
N1034,2024-07-31,STK005,Indeed market house present him tax.,0.09,Bloomberg
N1035,2024-06-26,STK032,Television mission move guess measure right seek.,-0.12,Reuters
N1036,2024-02-24,STK004,Southern star move second.,-0.88,CNBC
N1037,2023-03-25,STK007,Top bed score for top throw summer long.,-0.58,CNBC
N1038,2024-08-31,STK023,Argue difference soon reveal area arrive.,-0.4,CNBC
N1039,2024-10-28,STK030,Father animal herself animal ago story.,0.98,CNBC
N1040,2024-07-10,STK015,Already push food beat these many.,0.64,Bloomberg
N1041,2023-10-11,STK022,Imagine security him best.,0.31,Bloomberg
N1042,2024-08-09,STK031,American less appear bring half.,-0.34,Bloomberg
N1043,2024-05-07,STK027,Continue foreign difference take indeed alone.,-0.37,Bloomberg
N1044,2023-05-16,STK017,Firm enough practice item contain.,0.49,CNBC
N1045,2023-08-18,STK040,Force southern party she finally family realize large.,-0.31,CNBC
N1046,2024-03-07,STK032,Skin newspaper sing west region a doctor.,0.24,CNBC
N1047,invalid_date,STK008,Society share rise particularly Democrat ready sometimes.,-0.4,Reuters
N1048,2023-08-26,STK034,Child traditional fine third.,-0.23,CNBC
N1049,2023-04-30,STK012,Point parent general speech know.,0.4,Bloomberg
N1050,2024-03-24,STK011,Organization open first.,-0.59,CNBC
N1051,2024-01-27,STK028,By heavy system law happen our everything.,-0.85,Bloomberg
N1052,2024-05-25,STK015,Cause present night.,0.71,CNBC
N1053,2023-03-11,STK018,Itself arm south moment add.,-0.05,Bloomberg
N1054,2023-06-20,STK022,Sure must factor.,0.19,Bloomberg
N1055,2024-09-23,STK019,Value school perhaps.,-0.51,Reuters
N1056,2024-08-20,STK035,Party dark tonight these cut before produce school.,0.13,CNBC
N1057,2023-12-27,STK029,Beyond investment imagine nor over everyone draw.,0.84,Reuters
N1058,2023-12-03,STK032,Class blue reality I stay course.,0.62,CNBC
N1059,2023-10-05,STK033,Single travel cup your according attorney live give.,0.8,Reuters
N1060,2023-05-26,STK033,Somebody natural under husband good.,-0.64,CNBC
N1061,2024-10-22,STK025,Movement dream other none remain.,0.35,CNBC
N1062,2023-06-03,STK009,They another president up anything.,0.11,Reuters
N1063,2023-05-29,STK018,Hit nation player.,-0.71,CNBC
N1064,2023-03-03,STK008,As above water finally speak treat themselves.,0.93,Bloomberg
N1065,2024-07-08,STK013,Down ball law southern.,0.66,Reuters
N1066,2023-12-09,STK015,Chair build character probably could similar mean.,0.17,Bloomberg
N1067,2024-03-06,STK026,Step issue nice experience wonder college.,-0.86,CNBC
N1068,2023-09-11,STK006,Cover main nor religious make.,0.23,Bloomberg
N1069,invalid_date,STK021,Lead adult heavy which hold.,-0.04,Bloomberg
N1070,2024-06-03,STK022,Eight her our provide stay southern energy.,-0.85,Reuters
N1071,2023-03-11,STK015,Serious food marriage yard of newspaper.,0.97,CNBC
N1072,2024-06-09,STK020,Recent school mouth.,-0.96,CNBC
N1073,2023-05-03,STK005,Opportunity type enjoy teach turn impact people.,0.79,CNBC
N1074,2024-04-27,STK031,That meeting central read listen it.,-0.8,CNBC
N1075,2023-02-26,STK002,Return or where.,-0.16,Bloomberg
N1076,2023-06-02,STK008,Class herself establish race friend behavior.,-0.72,Reuters
N1077,2023-05-09,STK017,Reduce black song when put.,0.4,Reuters
N1078,2024-01-11,STK023,Save white fund fill.,-0.94,Reuters
N1079,2023-03-11,STK025,Cultural all thus Republican.,-0.36,CNBC
N1080,invalid_date,STK011,Put practice everybody his three guess.,-0.06,Bloomberg
N1081,2024-06-11,STK019,Message us thousand particularly market off add.,-0.79,CNBC
N1082,2023-12-11,STK020,Prove thousand hold member.,0.95,CNBC
N1083,2024-06-23,STK038,The stuff bad.,0.03,Reuters
N1084,2024-08-07,STK038,Let money hand hour never.,0.36,Reuters
N1085,2023-10-03,STK023,Ability conference their machine.,-0.2,CNBC
N1086,2023-10-06,STK001,Large daughter leave should without detail item.,-0.37,Bloomberg
N1087,2024-02-24,STK038,Teacher star detail assume financial audience.,0.85,Bloomberg
N1088,2023-11-06,STK015,Support show painting pretty.,-0.37,CNBC
N1089,2024-04-19,STK014,Various of exactly camera involve travel write.,0.35,Bloomberg
N1090,2024-02-03,STK027,Young eye coach myself catch.,0.26,Reuters
N1091,2024-01-31,STK036,Song reach media friend much a nothing.,0.15,Bloomberg
N1092,invalid_date,STK032,Together wear current book total.,-0.96,Reuters
N1093,2024-06-28,STK034,Treat job medical son.,0.95,Reuters
N1094,2023-01-13,STK021,My the point wide degree benefit cost.,-0.94,Bloomberg
N1095,2023-08-01,STK026,Rest place fast light do win piece.,0.46,Reuters
N1096,2023-12-29,STK036,Get hit whom other can range debate.,0.0,Bloomberg
N1097,2023-11-21,STK028,Appear while director among bill.,0.56,Reuters
N1098,2024-05-20,STK025,Would fall not use step.,-0.04,CNBC
N1099,2023-01-11,STK033,Partner today personal term movement guy.,-0.75,Reuters
N1100,2024-11-14,STK005,Statement toward choice myself wear require fall.,-0.86,Reuters
N1101,2024-05-26,STK016,Exist middle my general necessary try way.,-0.75,Bloomberg
N1102,2024-10-25,STK038,Would yes American call attention number.,-0.12,Bloomberg
N1103,2023-12-14,STK004,Small knowledge anyone season.,0.81,Bloomberg
N1104,2023-05-13,STK025,Cold girl into five once past argue.,-0.36,Reuters
N1105,2023-07-05,STK038,Indicate only sit under bank now.,-0.95,Reuters
N1106,2023-05-16,STK026,Knowledge board customer short forget.,0.92,CNBC
N1107,2023-12-29,STK030,Message indicate management condition color.,0.67,CNBC
N1108,2023-10-07,STK040,Behind interesting office either stand.,-0.11,Reuters
N1109,2023-10-06,STK020,Edge close between American herself art.,-0.46,CNBC
N1110,2023-09-08,STK022,Enter learn your manager he want lawyer.,0.54,Reuters
N1111,2024-09-27,STK021,Public begin box from.,0.09,CNBC
N1112,2024-04-06,STK031,Leave organization memory stuff.,-0.46,CNBC
N1113,2023-12-10,STK032,Mention walk letter perhaps law.,-0.95,CNBC
N1114,2024-01-12,STK014,Step how every least book food.,-0.62,Reuters
N1115,2023-05-01,STK035,Create state food guy certainly call board.,-0.68,Bloomberg
N1116,2024-10-23,STK037,Create actually they almost concern modern.,-0.36,Bloomberg
N1117,2024-05-28,STK037,Computer they college.,0.24,CNBC
N1118,invalid_date,STK017,If couple candidate range soon.,0.94,Reuters
N1119,2023-08-04,STK003,Large country administration.,-0.99,CNBC
N1120,2024-07-19,STK025,Dog cell really range anyone hit.,0.95,CNBC
N1121,2024-05-10,STK027,Allow top size democratic imagine candidate model without.,0.68,CNBC
N1122,2024-02-28,STK040,Nation cultural see science deep history together.,-0.76,Reuters
N1123,2024-05-02,STK018,Student allow outside serious power.,-0.39,Bloomberg
N1124,2024-01-02,STK002,Agency explain heavy top role likely.,0.89,Reuters
N1125,2023-07-25,STK032,Late study record event instead.,-0.31,Reuters
N1126,2023-10-18,STK022,Human baby size election manage evening but.,0.86,CNBC
N1127,2024-10-29,STK006,Staff reason open community full.,0.78,Reuters
N1128,2024-05-05,STK006,Wish interest machine more particularly everybody.,0.84,Bloomberg
N1129,2023-07-11,STK026,Member common interesting group meet skin.,0.05,Reuters
N1130,2023-06-03,STK030,Agree appear big feeling light simple.,0.01,CNBC
N1131,2023-03-24,STK010,Camera bad worker.,0.55,Bloomberg
N1132,2024-07-31,STK002,Fill nor memory including.,0.62,Bloomberg
N1133,2024-02-26,STK002,Military allow indeed girl whether suddenly unit.,-0.51,Reuters
N1134,2024-05-20,STK022,Recognize suddenly leader major return hope game.,-0.72,Reuters
N1135,2024-11-18,STK019,Rate matter however shake partner.,-0.68,Bloomberg
N1136,2024-04-14,STK016,Wind turn across because them support.,-0.57,CNBC
N1137,2023-05-28,STK010,Political build cold finish audience campaign ready.,-0.5,Reuters
N1138,2023-12-01,STK006,Half window message outside near key here.,0.55,CNBC
N1139,2024-01-10,STK017,Indicate whether page me marriage include.,0.73,CNBC
N1140,2024-11-14,STK023,Serious we line some friend now customer.,-0.67,CNBC
N1141,2024-08-30,STK010,Event south official sister middle.,0.58,Bloomberg
N1142,2023-07-01,STK007,Throughout five production realize.,0.28,Bloomberg
N1143,2023-05-10,STK014,Hot bar song cut image reach.,-0.81,CNBC
N1144,2024-09-19,STK021,Weight key offer everyone during easy.,0.92,CNBC
N1145,2023-10-26,STK038,Official former style partner.,0.59,CNBC
N1146,2024-10-08,STK001,In professor defense language.,0.21,Reuters
N1147,2023-02-28,STK001,Board be nation notice six back right.,0.32,Reuters
N1148,2024-09-16,STK004,Firm condition speak seat.,0.48,CNBC
N1149,2024-07-31,STK032,Person fact cost forget past role.,0.63,Bloomberg
N1150,2024-08-13,STK040,Customer six home minute explain.,0.98,Reuters
N1151,2023-01-22,STK032,Hope mean majority purpose else job.,-0.45,Reuters
N1152,2023-01-09,STK037,Travel purpose represent start provide factor themselves.,0.45,Bloomberg
N1153,2023-10-29,STK016,Congress individual wrong agree.,0.68,Bloomberg
N1154,2023-07-18,STK011,Somebody throw actually matter improve.,-0.52,CNBC
N1155,2023-12-01,STK033,Cut single new who smile dark.,-0.79,Bloomberg
N1156,2023-02-02,STK036,Process economy machine program machine product.,0.85,Reuters
N1157,2023-06-09,STK034,Control somebody fear continue foot enter.,-0.79,Bloomberg
N1158,2023-04-23,STK035,Where interview protect station.,-0.24,Reuters
N1159,2024-08-21,STK026,Up hope half race medical.,0.48,Reuters
N1160,2023-10-21,STK012,Concern beat charge not participant.,0.34,CNBC
N1161,2024-01-11,STK006,Race goal bit similar continue hit oil.,0.81,Bloomberg
N1162,2024-10-02,STK006,Father performance bring partner model address letter house.,-0.63,Bloomberg
N1163,2024-09-06,STK038,Truth to serious expect although husband.,0.7,CNBC
N1164,2024-08-19,STK031,Describe each product reach break.,-0.52,Bloomberg
N1165,2024-04-12,STK028,Old plant item.,0.14,CNBC
N1166,2023-08-13,STK013,Serious try discussion when.,0.63,Bloomberg
N1167,2024-09-26,STK022,Bank analysis both recent tax.,0.44,Bloomberg
N1168,2023-02-11,STK025,Issue to seat.,-0.22,CNBC
N1169,2023-05-05,STK025,Thus evening chance food.,-0.49,CNBC
N1170,2023-10-17,STK034,Less risk pattern concern source which even describe.,-0.76,Reuters
N1171,2023-03-07,STK024,How question general although family.,0.08,Reuters
N1172,2023-12-09,STK011,Recognize table last play business.,-0.93,Bloomberg
N1173,2024-11-29,STK024,Quickly else put really inside.,0.38,CNBC
N1174,2023-07-13,STK038,Child difficult peace make start.,0.47,Reuters
N1175,2023-02-20,STK010,Blue able look director.,0.39,CNBC
N1176,2023-03-07,STK009,Actually tough store particularly herself.,-0.8,Reuters
N1177,2024-10-21,STK031,Sing staff surface baby hospital right meeting writer.,0.25,Reuters
N1178,2024-10-06,STK019,Perhaps main finish middle.,-0.0,Reuters
N1179,2024-09-29,STK005,Cover body sing dream common stock remain.,0.79,CNBC
N1180,2024-01-16,STK039,Near billion individual special those admit.,0.94,Bloomberg
N1181,2024-03-09,STK031,Politics might pull.,-0.93,Reuters
N1182,2024-12-01,STK039,Use be generation top worry education glass.,-0.29,Bloomberg
N1183,2023-12-21,STK020,Become foreign let mean crime heavy.,0.72,Bloomberg
N1184,2023-05-19,STK007,Choice whose ball culture evening.,0.5,Reuters
N1185,2023-10-22,STK018,Scene while even me how bed.,0.95,Reuters
N1186,2023-11-30,STK038,Society future prepare.,-0.95,Bloomberg
N1187,2023-02-17,STK018,Figure simply tend method.,-0.38,CNBC
N1188,2024-10-02,STK004,Compare fine opportunity see.,-0.72,Reuters
N1189,2024-09-07,STK025,Money condition open back big.,0.2,Bloomberg
N1190,2023-04-05,STK013,Personal avoid real.,0.56,Reuters
N1191,2023-12-11,STK029,Student big my newspaper grow college.,0.02,Bloomberg
N1192,2024-04-25,STK029,Bag simply relationship accept miss other.,0.86,Reuters
N1193,2023-11-03,STK038,Them source head.,0.35,Bloomberg
N1194,2023-03-09,STK025,Someone international low respond conference.,0.52,Reuters
N1195,2024-02-29,STK013,Meet forward happy expert international Democrat.,-0.87,CNBC
N1196,2023-03-14,STK021,Practice ground process through bit piece.,0.34,Bloomberg
N1197,2024-01-03,STK016,Try everything turn drive series skin.,-0.9,Bloomberg
N1198,2024-01-28,STK036,New owner network sort experience forget important.,-0.88,Reuters
N1199,2023-10-22,STK003,Education kind box.,0.34,Bloomberg
N1200,2023-05-20,STK017,Church work build town box.,0.1,Reuters
N1201,2024-11-04,STK010,End between wide.,-0.89,Reuters
N1202,2024-05-01,STK034,Program support star moment.,-0.19,Bloomberg
N1203,2023-02-05,STK014,Sign together dark.,-0.41,Bloomberg
N1204,2023-11-30,STK013,Great modern game have available serious of.,-0.2,Bloomberg
N1205,2023-12-27,STK006,Weight according I question affect actually example science.,0.54,Bloomberg
N1206,2023-11-21,STK022,Movie base beyond less choice speech.,-0.2,Bloomberg
N1207,2023-04-10,STK023,Available hand since during open foreign probably.,-0.3,Bloomberg
N1208,2024-04-03,STK029,Customer may become operation either.,-0.17,Bloomberg
N1209,2024-06-05,STK023,Material watch strategy nation central beyond.,0.37,Reuters
N1210,2023-12-07,STK033,Morning yes hand chair movement say.,0.47,Bloomberg
N1211,2024-07-20,STK038,Despite citizen political attack.,0.82,CNBC
N1212,2023-03-07,STK018,Tend heavy rest marriage.,-0.67,Reuters
N1213,2023-10-29,STK028,Always never alone cultural through doctor kind.,0.94,Bloomberg
N1214,2023-05-08,STK008,Weight may church really benefit summer analysis.,0.57,CNBC
N1215,2024-07-22,STK003,Yet nor foreign city probably ok read.,0.36,Bloomberg
N1216,2023-05-16,STK023,Discussion attorney well glass skill black ball.,-0.89,CNBC
N1217,2024-11-25,STK020,Less size generation better environment rock ok.,0.74,CNBC
N1218,2024-07-09,STK031,Bag house myself decade point official movement artist.,0.28,CNBC
N1219,2023-09-10,STK023,Wide culture who five.,0.65,Reuters
N1220,2023-04-03,STK017,Sense month certainly pay Mr especially prevent.,0.3,Bloomberg
N1221,2023-01-13,STK002,Tv yourself position know argue four various.,0.93,Reuters
N1222,2024-02-01,STK012,Hot effect sort.,-0.01,Reuters
N1223,2023-01-22,STK034,Prevent teacher still entire leave body summer herself.,0.87,Reuters
N1224,2024-04-28,STK018,Office cell sense six out his.,0.66,CNBC
N1225,2023-03-17,STK017,Population play call without life.,-0.88,Bloomberg
N1226,2024-11-26,STK012,Fly for meet relationship per head.,-0.87,Reuters
N1227,2024-03-18,STK024,More score this process about likely.,0.95,CNBC
N1228,2023-01-24,STK022,Above already nice level receive most sort.,-0.07,CNBC
N1229,2024-01-21,STK001,Federal born age.,-0.1,Reuters
N1230,2024-09-01,STK006,Painting tree trial.,-0.02,Bloomberg
N1231,2024-05-15,STK007,Visit garden down teach share message accept strategy.,0.36,Bloomberg
N1232,2023-06-09,STK020,Argue Republican city institution build manage.,-0.63,CNBC
N1233,2024-07-20,STK006,Investment beyond then exactly girl fire.,0.16,CNBC
N1234,2023-12-17,STK029,Five morning east low discussion.,0.19,CNBC
N1235,2023-01-15,STK025,Democrat anything dog company avoid.,0.93,CNBC
N1236,2024-08-12,STK007,Strong cup actually court.,-0.59,Reuters
N1237,2024-07-10,STK016,Start including should four to.,-0.07,Bloomberg
N1238,2023-04-25,STK013,Gas enjoy argue allow.,0.42,Reuters
N1239,2024-04-01,STK034,Prevent owner send entire worry region.,0.63,Bloomberg
N1240,2023-05-11,STK007,Wait government popular standard simple.,0.74,CNBC
N1241,2024-04-18,STK002,Yourself increase just first where challenge.,-0.88,CNBC
N1242,2024-09-11,STK027,However world different federal newspaper majority commercial.,0.25,CNBC
N1243,2023-08-19,STK033,Second knowledge imagine seem treat decide door.,-0.06,Bloomberg
N1244,2024-05-23,STK005,Color hard evidence.,0.45,Bloomberg
N1245,2023-09-21,STK030,Will along statement skill mind happy.,0.36,Reuters
N1246,2023-08-19,STK029,The theory ever.,0.72,CNBC
N1247,2024-02-19,STK029,Deal arm late fish wide themselves suffer.,-0.16,Bloomberg
N1248,2023-06-06,STK032,Memory particular song include one.,-0.55,Bloomberg
N1249,2024-01-24,STK014,All hope heavy Mrs class political add.,-0.73,Reuters
N1250,2024-04-03,STK032,Second prevent minute sure court.,0.88,Bloomberg
N1251,2024-03-31,STK024,Leave share sell TV think focus try.,0.08,Reuters
N1252,2023-06-21,STK027,Store I difference fine year.,-0.63,Bloomberg
N1253,2024-03-12,STK006,Recognize threat number build chair whatever picture tree.,-0.04,Reuters
N1254,2023-02-15,STK026,Professional administration worry.,-0.36,Bloomberg
N1255,2024-04-28,STK020,Section computer prepare here around stage enough boy.,0.1,Bloomberg
N1256,2023-12-27,STK002,Country might head west court.,-0.91,Reuters
N1257,2023-08-22,STK023,Girl yes bill grow pull sea discover board.,-0.02,Bloomberg
N1258,2024-07-14,STK003,American do we state eight of.,0.59,Bloomberg
N1259,2023-09-21,STK034,Quickly star act project first whole.,0.85,Reuters
N1260,2023-03-14,STK003,Matter here specific simply particularly.,-0.72,Bloomberg
N1261,2024-07-25,STK002,Necessary mention good hit rock network recent.,0.38,CNBC
N1262,2024-01-25,STK036,Sea boy responsibility participant risk.,0.84,Reuters
N1263,2024-09-09,STK038,Gas positive common court.,-0.02,Bloomberg
N1264,2023-04-03,STK022,Help authority I.,-0.12,CNBC
N1265,2023-08-14,STK021,Administration there increase a on need.,-0.16,Bloomberg
N1266,2023-04-05,STK040,Good gas yourself drop.,0.84,Reuters
N1267,2023-01-14,STK023,Get father administration better.,-0.67,Reuters
N1268,2023-02-12,STK020,Thank rate avoid early.,0.61,Bloomberg
N1269,2023-03-04,STK026,Central over carry memory he.,0.72,Bloomberg
N1270,2023-09-19,STK022,Reduce listen season claim each decision.,0.09,Reuters
N1271,2024-04-16,STK018,Politics manager bag toward company American.,-0.66,Bloomberg
N1272,2024-01-06,STK031,Congress too job gun.,-0.64,CNBC
N1273,2024-09-05,STK012,Method include economic.,-0.06,CNBC
N1274,2024-11-17,STK011,Argue keep trouble care what TV.,0.47,Reuters
N1275,2023-10-27,STK008,Show writer ability.,-0.96,Reuters
N1276,2024-11-14,STK026,Truth degree open hear.,-0.51,Bloomberg
N1277,2024-10-27,STK011,Democratic work night already.,-0.41,CNBC
N1278,2023-06-02,STK031,Attorney sense take kitchen prove.,0.59,Bloomberg
N1279,2023-05-07,STK001,Occur benefit contain shoulder.,0.73,Bloomberg
N1280,2023-06-01,STK036,Defense concern board easy other political.,0.81,Bloomberg
N1281,2023-11-02,STK030,You black property suggest culture have but indeed.,-0.25,Bloomberg
N1282,2024-03-09,STK039,Bit nor price.,-0.4,Bloomberg
N1283,invalid_date,STK012,Son situation skin range song.,0.88,Reuters
N1284,2024-10-28,STK025,Himself some reality another space bar.,-0.33,CNBC
N1285,2023-09-29,STK029,Own cultural pay however game feeling position.,-0.6,Bloomberg
N1286,2023-11-22,STK011,Fight physical style hand citizen.,0.11,Bloomberg
N1287,2024-10-07,STK013,Above start minute build dream be.,0.63,Reuters
N1288,invalid_date,STK038,Major we state smile.,0.89,Reuters
N1289,2024-11-09,STK017,Who drug woman laugh break close.,0.36,CNBC
N1290,2023-10-25,STK031,Successful laugh miss fly technology.,0.76,Bloomberg
N1291,2024-02-25,STK014,Many manager behavior throw technology bar I.,-0.38,CNBC
N1292,2023-10-06,STK035,Ask star relate money season model stay.,-0.31,Bloomberg
N1293,2023-08-06,STK035,Campaign suddenly value interest social walk.,0.91,Bloomberg
N1294,2023-01-26,STK029,Share other budget reflect.,0.95,CNBC
N1295,2023-02-03,STK029,I society floor difficult he particular.,0.39,CNBC
N1296,2024-08-13,STK016,Visit alone rich upon and guess.,-0.17,Bloomberg
N1297,2023-06-17,STK018,Property hospital model respond people.,-0.71,Reuters
N1298,2023-04-16,STK016,Return three every step shake night and friend.,-0.78,CNBC
N1299,2023-03-10,STK023,Stock a employee section hospital write.,0.73,CNBC
N1300,invalid_date,STK036,Politics close join wear bill together.,-0.5,Reuters
N1301,2023-12-16,STK002,How space those consider change still money.,-0.17,Bloomberg
N1302,2023-11-29,STK024,Coach be list.,0.99,Reuters
N1303,2023-07-29,STK016,None respond by second try indeed.,-0.44,CNBC
N1304,2024-10-01,STK017,General adult most onto.,0.86,Reuters
N1305,2024-07-22,STK014,Local wrong night remain indicate produce.,0.41,CNBC
N1306,2023-11-19,STK009,Seem to even amount outside fear to.,0.83,CNBC
N1307,2024-05-23,STK034,Let wear culture daughter smile around.,0.54,Reuters
N1308,2023-01-09,STK010,Your reach history hand.,-0.96,Reuters
N1309,2023-05-22,STK038,After nothing reflect despite character.,-0.97,Reuters
N1310,2023-11-28,STK035,Support wish right weight agent sit air.,0.34,Reuters
N1311,2024-08-19,STK001,Sign field pressure mission.,-0.54,Bloomberg
N1312,2023-11-11,STK039,Speak close time respond they little.,-0.47,CNBC
N1313,2023-03-03,STK036,Coach per part history audience admit see.,0.58,Reuters
N1314,2023-12-24,STK007,Fear community also environment fire.,-0.66,Bloomberg
N1315,2023-05-29,STK024,Give interest per ok clearly argue.,-0.72,Reuters
N1316,2023-10-24,STK027,Gas day week night.,-0.01,CNBC
N1317,2023-08-31,STK036,Land campaign social some.,0.62,Bloomberg
N1318,2023-12-16,STK038,Add old good several political no magazine.,-0.95,CNBC
N1319,2023-06-21,STK037,Station country skin arm data.,-0.67,Reuters
N1320,2024-05-22,STK028,Large similar team about wide.,0.28,Bloomberg
N1321,2023-05-29,STK020,Second conference reduce everybody economy country.,0.51,Bloomberg
N1322,2023-12-22,STK038,Drug get generation evening able marriage left.,-0.77,Reuters
N1323,2023-11-20,STK035,Require service entire believe.,0.02,Reuters
N1324,2023-03-07,STK024,Southern program explain art discover common.,-0.89,Reuters
N1325,2024-03-21,STK027,Official five then Mr.,0.82,CNBC
N1326,2023-07-28,STK034,Cause system movie save.,0.8,Reuters
N1327,2024-02-01,STK008,Area affect only others charge down indicate.,-0.77,CNBC
N1328,2023-05-13,STK009,None place both health war.,-0.87,CNBC
N1329,2024-11-28,STK025,Article back few while reduce.,0.29,Reuters
N1330,2023-04-29,STK008,Expert notice team simply voice all.,-0.53,CNBC
N1331,2023-02-19,STK005,Hand others laugh environment strong crime for.,0.59,Reuters
N1332,2024-03-20,STK004,Stuff often they affect enough fine reflect focus.,-0.62,Reuters
N1333,2023-02-06,STK026,From experience understand draw likely size send.,-0.6,CNBC
N1334,2024-04-12,STK014,Billion in then miss customer.,-0.03,Reuters
N1335,2023-12-27,STK027,Particularly federal strategy culture trouble crime.,0.47,CNBC
N1336,2024-05-25,STK023,Organization news by create agreement road politics.,0.18,Reuters
N1337,2023-07-21,STK007,Couple time response successful book outside enter.,0.23,Reuters
N1338,2023-01-10,STK030,According word continue city happy.,-0.16,CNBC
N1339,2023-01-16,STK006,Force imagine nice.,-0.72,Bloomberg
N1340,2023-12-22,STK039,Speak relationship fight prevent season line.,-0.66,Reuters
N1341,2023-11-20,STK007,Imagine within help success each.,-0.78,Bloomberg
N1342,2023-08-27,STK005,Else want apply value meet consumer standard.,0.58,Bloomberg
N1343,2023-02-08,STK005,National relate morning record how conference sort.,-0.37,Bloomberg
N1344,2023-05-16,STK035,Glass hotel meeting cold sit.,0.47,Reuters
N1345,2024-04-29,STK010,Deep send not face identify spend.,-0.8,CNBC
N1346,2023-11-11,STK037,Ten reason those agree manager then attack.,-0.66,CNBC
N1347,2024-09-17,STK034,Media open month economic behind build.,-0.14,Bloomberg
N1348,2024-09-13,STK021,Nor loss trouble quite social dinner most home.,0.63,Reuters
N1349,2024-04-05,STK005,Baby consider put.,0.37,CNBC
N1350,2024-03-29,STK008,Machine trade suffer compare upon door sound.,0.35,CNBC
N1351,2023-03-28,STK028,Rock level either according.,-0.39,Reuters
N1352,2023-12-11,STK036,Land would increase actually science least usually.,0.79,CNBC
N1353,2023-04-12,STK008,Act live but apply.,-0.01,CNBC
N1354,2024-06-11,STK003,Visit billion outside material medical.,-0.64,Bloomberg
N1355,2023-11-12,STK017,Personal my physical cell hour.,-0.18,CNBC
N1356,2024-07-09,STK010,Where day off than.,-0.93,Bloomberg
N1357,2024-08-17,STK004,Drug simply great coach.,-0.0,CNBC
N1358,2023-07-31,STK012,Raise find station put happen.,0.26,CNBC
N1359,2024-08-22,STK019,Thank federal what throw other movement she place.,-0.54,Bloomberg
N1360,2024-09-26,STK028,Be far audience behind receive.,0.43,Reuters
N1361,2023-12-07,STK034,Under who impact.,-0.63,Bloomberg
N1362,2023-05-24,STK029,Decision audience south above cold main.,-0.78,Reuters
N1363,2024-10-14,STK029,Security build those eye.,0.59,Reuters
N1364,2023-09-19,STK029,Type go hard use church shake.,-0.1,CNBC
N1365,2024-04-24,STK031,Difference number sometimes military fire.,-0.76,Reuters
N1366,2024-04-21,STK021,Travel price plant step.,0.36,CNBC
N1367,2024-11-19,STK027,Benefit check score soon suddenly everybody.,0.51,CNBC
N1368,2024-03-19,STK007,Hear save participant how official.,0.14,CNBC
N1369,2024-07-26,STK004,Black gun mind detail say.,-0.09,Reuters
N1370,invalid_date,STK017,Group modern general should learn customer wish.,0.25,CNBC
N1371,2023-04-11,STK012,Theory success against campaign oil.,0.12,Bloomberg
N1372,2024-06-05,STK021,More ago number.,0.13,Bloomberg
N1373,2023-12-27,STK017,Position either find.,0.45,Bloomberg
N1374,2024-06-06,STK001,Garden much experience drive day country pretty defense.,0.24,Reuters
N1375,2024-08-16,STK006,Mind science choice word ever whom.,0.43,Bloomberg
